Ticket,PositionID,Symbol,DealType,Entry,Time,Price,Volume,Profit,Swap,Commission,SL,TP,Magic,Comment
1215900075,0,,OTHER,IN,2026.07.12 13:54,0.00,0.00,125.43,0.00,0.00,0.00,0.00,0,Transfer from 34259555
1226650334,1206066110,GOLD.i#,SELL,IN,2026.08.12 15:30,4429.00,0.01,0.00,0.00,0.00,0.00,0.00,0,
1226673219,1206066110,GOLD.i#,BUY,OUT,2026.08.12 15:30,4392.57,0.01,36.43,0.00,0.00,0.00,0.00,0,
1235600026,1214505784,GOLD.i#,SELL,IN,2026.09.08 13:38,4395.51,0.01,0.00,0.00,0.00,4403.53,4379.53,20260910,GHP SELL
1235600275,1214506042,GOLD.i#,SELL,IN,2026.09.08 13:39,4395.36,0.01,0.00,0.00,0.00,4403.36,4379.36,20260910,GHP SELL
1235616006,1214506042,GOLD.i#,BUY,OUT,2026.09.08 14:33,4403.49,0.01,-8.13,0.00,0.00,4403.36,4379.36,20260910,[sl 4403.36]
1235616019,1214521138,GOLD.i#,BUY,IN,2026.09.08 14:33,4403.50,0.01,0.00,0.00,0.00,4395.49,4419.49,20260910,GHP BUY
1235616029,1214505784,GOLD.i#,BUY,OUT,2026.09.08 14:33,4403.58,0.01,-8.07,0.00,0.00,4403.53,4379.53,20260910,[sl 4403.53]
1235616513,1214521588,GOLD.i#,BUY,IN,2026.09.08 14:34,4404.93,0.01,0.00,0.00,0.00,4396.92,4420.92,20260910,GHP BUY

Note: Times are server time (XM GMT+2/+3). Local (Asia/Kolkata) = server + 2.5h
in summer. Dump produced by HistoryDump_Zaid script at 17:10:49 local.
