time,symbol,type,volume,profit,swap,magic,bot,comment
2026-09-08T19:25:45+00:00,GOLD,SELL,0.01,0.58,0.0,20260914,GBH_old,[tp 4392.79]
2026-09-08T19:58:00+00:00,GOLD,BUY,0.01,-4.11,0.0,20260915,GBH,[sl 4395.52]
2026-09-08T21:48:58+00:00,GOLD,BUY,0.01,16.31,0.0,20260910,GHP,[tp 4371.42]
2026-09-08T21:48:58+00:00,GOLD,BUY,0.01,16.69,0.0,20260910,GHP,[tp 4370.07]
2026-09-08T21:53:32+00:00,GOLD,BUY,0.01,-7.21,0.0,20260915,GBH,[sl 4368.35]
2026-09-08T22:58:56+00:00,GOLD,BUY,0.01,8.36,0.0,20260915,GBH,[tp 4359.38]
2026-09-09T01:08:48+00:00,GOLD,SELL,0.01,-5.21,0.0,20260915,GBH,[sl 4353.08]
2026-09-09T02:52:04+00:00,GOLD,SELL,0.01,-2.64,0.0,20260915,GBH,[sl 4351.67]
2026-09-09T03:52:13+00:00,GOLD,SELL,0.01,8.13,0.0,20260915,GBH,[tp 4357.56]
2026-09-09T04:01:16+00:00,GOLD,SELL,0.01,-3.91,0.0,20260915,GBH,[sl 4357.79]
2026-09-09T17:43:33+00:00,GOLD,SELL,0.01,-6.42,0.0,20260915,GBH,[sl 4420.08]
2026-09-09T20:06:02+00:00,GOLD,SELL,0.01,17.0,0.0,20260915,GBH,[tp 4415.59]
2026-09-09T20:06:14+00:00,GOLD,SELL,0.01,16.02,0.0,20260910,GHP,[tp 4417.09]
2026-09-09T21:50:17+00:00,GOLD,BUY,0.01,6.35,0.0,20260915,GBH,[tp 4405.81]
2026-09-10T01:10:17+00:00,GOLD,SELL,0.01,-3.05,0.0,20260915,GBH,[sl 4402.81]
2026-09-10T04:01:06+00:00,GOLD,SELL,0.01,6.38,0.0,20260915,GBH,[tp 4407.99]
2026-09-10T04:16:33+00:00,GOLD,SELL,0.01,-5.98,0.0,20260915,GBH,[sl 4411.37]
2026-09-10T05:11:52+00:00,GOLD,SELL,0.01,-4.73,0.0,20260915,GBH,[sl 4413.91]
2026-09-10T21:51:19+00:00,GOLD,BUY,0.01,-5.26,0.0,20260915,GBH,[sl 4336.53]
2026-09-10T22:02:50+00:00,GOLD,BUY,0.01,10.18,0.0,20260915,GBH,[tp 4316.53]
2026-09-11T01:41:17+00:00,GOLD,BUY,0.01,9.91,0.13,20260915,GBH,[tp 4314.20]
2026-09-11T02:01:54+00:00,GOLD,BUY,0.01,-4.57,0.0,20260915,GBH,[sl 4320.10]
2026-09-11T03:01:03+00:00,GOLD,BUY,0.01,-5.26,0.0,20260915,GBH,[sl 4319.60]
2026-09-11T07:08:07+00:00,GOLD,BUY,0.01,-5.26,0.0,20260915,GBH,[sl 4314.45]
2026-09-11T15:37:21+00:00,BTCUSD,BUY,0.01,-5.07,0.0,20260917,BBH,[sl 77548.45]
2026-09-11T17:01:04+00:00,GOLD,SELL,0.01,-5.24,0.0,20260915,GBH,[sl 4391.49]
2026-09-11T17:03:03+00:00,BTCUSD,SELL,0.01,10.12,0.0,20260917,BBH,[tp 79684.95]
2026-09-11T17:07:48+00:00,BTCUSD,SELL,0.01,-4.9,0.0,20260917,BBH,[sl 79057.50]
2026-09-11T21:29:00+00:00,BTCUSD,BUY,0.01,-0.8,0.0,20260917,BBH,KillSwitch/Cutoff close
2026-09-14T05:26:18+00:00,BTCUSD,BUY,0.01,-5.03,-0.64,20260917,BBH,[sl 77667.05]
2026-09-14T21:29:01+00:00,BTCUSD,SELL,0.01,5.61,0.0,20260917,BBH,KillSwitch/Cutoff close
2026-09-15T00:59:13+00:00,BTCUSD,SELL,0.01,-5.02,-0.32,20260917,BBH,[sl 78732.35]
2026-09-15T11:08:05+00:00,BTCUSD,BUY,0.01,10.06,0.0,20260917,BBH,[tp 76801.65]
2026-09-15T18:24:49+00:00,BTCUSD,BUY,0.01,-5.1,0.0,20260917,BBH,[sl 76338.65]
2026-09-15T22:14:14+00:00,GOLD,SELL,0.01,-7.78,0.0,20260915,GBH,[sl 4300.59]
2026-09-16T04:14:10+00:00,GOLD,BUY,0.01,-5.86,0.0,20260915,GBH,[sl 4286.89]
2026-09-16T05:36:15+00:00,GOLD,SELL,0.01,9.92,0.0,20260915,GBH,[tp 4314.49]
2026-09-16T06:00:03+00:00,GOLD,SELL,0.01,10.25,0.0,20260915,GBH,[tp 4323.45]
2026-09-17T01:32:47+00:00,GOLD,BUY,0.01,-5.01,0.0,20260915,GBH,[sl 4266.04]
2026-09-17T04:54:20+00:00,GOLD,SELL,0.01,-5.12,0.0,20260915,GBH,[sl 4305.20]
2026-09-17T05:19:40+00:00,GOLD,BUY,0.01,-5.19,0.0,20260915,GBH,[sl 4292.48]
2026-09-17T15:30:39+00:00,BTCUSD,BUY,0.01,-8.02,0.0,20260916,BSH,[sl 77116.22]
2026-09-17T19:32:01+00:00,GOLD,SELL,0.01,-4.91,0.0,20260915,GBH,[sl 4363.34]
2026-09-18T06:14:33+00:00,BTCUSD,BUY,0.01,-6.29,-0.32,20260916,BSH,[sl 77320.91]
